 # | obj tags |obj count|               raw id                |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     spec. type     |#bib |#not
464|d         |        1|table:Star= HD 162652                |HD 162652                          |*  |17 52 05.1998960568 +01 06 40.229772336|K0III               |  23 |   0
465|d         |        1|table:Star= OGLEII DIA BUL-SC41 3443 |OGLE BLG-LPV-84035                 |Mi*|17 52 13.8915362760 -32 46 34.085760780|~                   |   6 |   0
466|d         |        1|table:Star= OGLEII DIA BUL-SC41 3304 |MSX6C G357.4208-03.2501            |Mi*|17 52 25.9305583848 -32 49 07.982462676|~                   |   5 |   0
467|d         |        1|table:Star= OGLEII DIA BUL-SC03 3941 |MSX6C G000.0131-02.0022            |Mi*|17 53 32.5704202008 -29 57 13.050966600|~                   |   6 |   0
468|d         |        1|table:Star= OGLEII DIA BUL-SC24 0989 |OGLE BLG-LPV-102961                |Mi*|17 53 39.3491631408 -33 06 03.119553036|~                   |   5 |   0
469|d         |        1|table:Star= OGLEII DIA BUL-SC03 1890 |OGLE BLG-LPV-104087                |Mi*|17 53 45.2328253608 -30 11 51.768983256|~                   |   6 |   0
470|d         |        1|table:Star= 2MASS J17535707-2931427  |IRAS 17507-2931                    |RC*|17 53 57.0683050968 -29 31 42.865815216|~                   |   6 |   0
471|d         |        1|table:Star= OGLEII DIA BUL-SC04 9008 |OGLE BLG-LPV-112084                |Mi*|17 54 27.9469472784 -29 15 45.998535744|~                   |   6 |   0
472|d         |        1|table:Star= OGLEII DIA BUL-SC04 4628 |MSX6C G000.3136-02.0810            |LP*|17 54 33.4060011480 -29 44 04.145514036|~                   |   4 |   0
473|d         |        1|table:Star= BD+20 3603               |BD+20 3603                         |PM*|17 54 43.2306198848 +20 16 16.444611703|F0                  | 155 |   0
474|d         |        1|table:Star= OGLEII DIA BUL-SC04 1709 |OGLE BLG-LPV-115709                |Mi*|17 54 49.0691923512 -30 00 31.047516540|~                   |   6 |   0
475|d         |        2|table:Star= HD 163346                |HD 163346                          |** |17 55 37.5125112864 +02 04 29.719084800|A2IV+G/K            |  31 |   0
476|d         |        1|table:Star= HD 163641                |HD 163641                          |*  |17 56 55.9762927056 +06 29 15.829203660|B9Vp                |  50 |   0
477|d         |        2|table:Star= OGLEII DIA BUL-SC22 1319 |OGLE BLG-LPV-137734                |Mi*|17 57 10.1916472728 -31 02 16.708138908|~                   |   7 |   0
478|d         |        1|table:Star= HD 163810                |HD 163810                          |** |17 58 38.4538029750 -13 05 49.654844460|G3V                 | 141 |   0
479|d         |        1|table:Star= HD 164115                |HD 164115                          |*  |17 59 27.0748680312 +06 25 08.197297716|F0                  |  26 |   0
480|d         |        1|table:Star= TLE Sgr I 55             |TLE Sgr I 55                       |Mi*|17 59 29.6384139312 -29 03 20.594000700|~                   |  10 |   0
481|d         |        1|table:Star= TLE Sgr I 11             |TLE Sgr I 11                       |Mi*|17 59 56.1352441776 -28 53 27.560606100|~                   |   8 |   0
482|d         |        1|table:Star= HD 164257                |HD 164257                          |El*|18 00 07.3151220144 +06 33 14.132106144|A0                  |  23 |   0
483|d         |        1|table:Star= TLE Sgr I 117            |TLE Sgr I 117                      |Mi*|18 00 45.7462937712 -29 11 05.322916140|~                   |   8 |   0
484|d         |        1|table:Star= HD 164432                |HD 164432                          |*  |18 00 52.8589485000 +06 16 05.857908564|B2IV                |  85 |   0
